feature,class,structuralcategory,functionalcategory,totallength,totaldb,totaloh,fullname,CD1a-100-a,CD1a-100-b,CD1a-150-a,CD1a-150-b,CD1a-20-a,CD1a-20-b,CD1a-50-a,CD1a-50-b,CD1a-75-a,CD1a-75-b,CD1c-100-a,CD1c-100-b,CD1c-150-a,CD1c-150-b,CD1c-20-a,CD1c-20-b,CD1c-50-a,CD1c-50-b,CD1c-75-a,CD1c-75-b
,,,,,,,shortname,CD1aBa,CD1aBb,CD1aAa,CD1aAb,CD1aEa,CD1aEb,CD1aDa,CD1aDb,CD1aCa,CD1aCb,CD1cBa,CD1cBb,CD1cAa,CD1cAb,CD1cEa,CD1cEb,CD1cDa,CD1cDb,CD1cCa,CD1cCb
,,,,,,,cohort,CD1a-100,CD1a-100,CD1a-150,CD1a-150,CD1a-20,CD1a-20,CD1a-50,CD1a-50,CD1a-75,CD1a-75,CD1c-100,CD1c-100,CD1c-150,CD1c-150,CD1c-20,CD1c-20,CD1c-50,CD1c-50,CD1c-75,CD1c-75
Cer 42:1;3,Cer,SL,MEM,42,1,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.511241972446442,0.65106201171875,NA,NA,NA,NA,NA,NA
Cer 42:1;4,Cer,SL,MEM,42,1,4,,0.401840001344681,0.347068011760712,0.567582011222839,0.39071598649025,0.101101003587246,0.0874305963516235,0.200453996658325,0.216988995671272,0.263962000608444,0.30315101146698,0.238068997859955,0.241905003786087,0.270595014095306,0.371547996997833,0.0773207023739815,NA,0.121742002665997,0.126014992594719,0.151216998696327,0.152532994747162
Cer 42:2;2,Cer,SL,MEM,42,2,2,,23.5506000518799,23.7124996185303,31.3883991241455,29.0431003570557,5.03957986831665,4.82078981399536,12.7115001678467,12.2904996871948,18.476900100708,18.9787998199463,15.4766998291016,15.7171001434326,22.9321994781494,22.6340999603271,3.84873008728027,3.56001996994019,8.22072982788086,8.21741008758545,12.0925998687744,11.381199836731
Cer 42:2;3,Cer,SL,MEM,42,2,3,,0.261260986328125,0.192543998360634,0.336659014225006,0.192414000630379,NA,NA,0.101162999868393,0.0884978026151657,0.215039998292923,0.206106007099152,0.151864007115364,0.18155400454998,0.220246002078056,0.276190012693405,0.0918432995676994,NA,0.131187006831169,NA,0.129067003726959,0.158460006117821
Cer 42:2;4,Cer,SL,MEM,42,2,4,,NA,NA,0.131920993328094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cer 44:1;2,Cer,SL,MEM,44,1,2,,0.36413100361824,0.264477998018265,0.386256009340286,0.348630994558334,NA,NA,0.1615159958601,0.175539001822472,0.260542005300522,0.289620995521545,0.519236028194427,0.493357002735138,0.709546029567719,0.701313018798828,0.130455002188683,0.13544200360775,0.271625012159348,0.204244002699852,0.311717003583908,0.336398005485535
Cer 44:2;2,Cer,SL,MEM,44,2,2,,0.585775017738342,0.451220989227295,0.648389995098114,0.560699999332428,0.131257995963097,0.102247998118401,0.263090997934341,0.309594005346298,0.424697995185852,0.38815701007843,0.532158017158508,0.573161005973816,0.749588012695312,0.801957011222839,0.139173001050949,0.135039001703262,0.269825994968414,0.298079013824463,0.472672998905182,0.400703012943268
Cer 44:2;4,Cer,SL,MEM,44,2,4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.186051994562149,NA,0.305052995681763,NA,NA,NA,NA,NA,NA
DAG 12:0;0_18:0;0,DAG,GL,MEM,30,0,0,,NA,NA,0.38128200173378,0.584640979766846,NA,NA,NA,0.207415997982025,0.400876998901367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 13:0;0_17:0;0,DAG,GL,MEM,30,0,0,,NA,NA,NA,0.609686017036438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.182607993483543,NA,NA,NA,NA,NA
DAG 14:0;0_16:0;0,DAG,GL,MEM,30,0,0,,5.34347009658813,5.40606021881104,7.89430999755859,6.17694997787476,NA,NA,2.38860011100769,3.09144997596741,3.37668991088867,4.2393798828125,NA,NA,NA,NA,2.03077006340027,NA,NA,NA,NA,2.87095999717712
DAG 14:0;0_16:1;0,DAG,GL,MEM,30,1,0,,NA,NA,NA,NA,NA,2.16741991043091,5.68694019317627,5.52656984329224,NA,7.96685981750488,NA,NA,NA,NA,NA,0.996752977371216,NA,NA,NA,NA
DAG 13:0;0_18:0;0,DAG,GL,MEM,31,0,0,,0.582056999206543,0.468863993883133,0.719632029533386,0.584499001502991,0.120907999575138,0.129326000809669,0.284274995326996,0.285129010677338,0.397076010704041,0.423251986503601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 14:0;0_17:0;0,DAG,GL,MEM,31,0,0,,0.706485986709595,NA,0.970403015613556,0.726899981498718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 15:0;0_16:0;0,DAG,GL,MEM,31,0,0,,NA,NA,7.06993007659912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 11:0;0_20:1;0,DAG,GL,MEM,31,1,0,,0.0618592016398907,0.125572994351387,0.162639006972313,0.0956669002771378,NA,NA,0.0668791979551315,0.0636295005679131,0.0707824006676674,0.0515854991972446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 13:0;0_18:1;0,DAG,GL,MEM,31,1,0,,3.22169995307922,4.5694899559021,4.50804996490479,3.67439007759094,0.718783020973206,0.657948017120361,2.11121010780334,1.61246001720428,2.01536989212036,2.34877991676331,NA,NA,NA,NA,0.246230006217957,NA,NA,NA,NA,NA
DAG 14:0;0_17:1;0,DAG,GL,MEM,31,1,0,,0.634127020835876,0.986663997173309,0.872313022613525,0.81343400478363,0.171169996261597,0.133533000946045,0.445517987012863,0.370391011238098,0.442472010850906,0.497963011264801,NA,NA,NA,NA,0.286314010620117,NA,NA,NA,NA,0.228339001536369
DAG 15:0;0_16:1;0,DAG,GL,MEM,31,1,0,,2.60385990142822,3.90932989120483,3.73696994781494,3.09898996353149,NA,NA,1.65530002117157,1.46569001674652,1.62626004219055,1.87110996246338,NA,NA,NA,NA,1.94207000732422,NA,NA,NA,NA,1.81860995292664
