feature,class,structuralcategory,functionalcategory,totallength,totaldb,totaloh,CD1a_molp,CD1b_molp,CD1c_molp,CD1d_molp
PC 11:0;0_18:1;0,PC,GPL,MEM,29,1,0,0.00826103032120489,NA,NA,NA
PC 12:0;0_17:1;0,PC,GPL,MEM,29,1,0,NA,NA,NA,NA
PC 13:0;0_16:1;0,PC,GPL,MEM,29,1,0,0.00644933455581892,NA,NA,0.006966257
PC 14:0;0_15:1;0,PC,GPL,MEM,29,1,0,NA,NA,NA,0.012727066
PC 14:1;0_15:0;0,PC,GPL,MEM,29,1,0,NA,NA,NA,0.00278054
PC 12:0;0_18:0;0,PC,GPL,MEM,30,0,0,NA,NA,0.0109940329834688,0.00485442
PC 13:0;0_17:0;0,PC,GPL,MEM,30,0,0,0.00313532911893618,0.0740797,0.00944313324996946,0.013542199
PC 14:0;0_16:0;0,PC,GPL,MEM,30,0,0,0.044313658112244,0.217919876,0.479264660973671,0.19040618
PC 15:0;0_15:0;0,PC,GPL,MEM,30,0,0,0.00743797262208355,0.120293673,0.110597129372993,0.147671163
PC 14:0;0_16:2;0,PC,GPL,MEM,30,2,0,NA,NA,0.0545350199697546,NA
PC 14:1;0_16:1;0,PC,GPL,MEM,30,2,0,NA,NA,NA,NA
PC 15:1;0_15:1;0,PC,GPL,MEM,30,2,0,NA,NA,NA,NA
PC 13:0;0_18:0;0,PC,GPL,MEM,31,0,0,0.016790408761402,0.108919012,0.0350656309457126,0.0147562
PC 14:0;0_17:0;0,PC,GPL,MEM,31,0,0,0.0155855320070353,0.094488981,0.117870742821934,0.094380803
PC 15:0;0_16:0;0,PC,GPL,MEM,31,0,0,0.113741584571195,0.526405672,0.827900531521395,0.962592489
PC 13:0;0_18:1;0,PC,GPL,MEM,31,1,0,0.0405098694429368,0.120507542,0.0490799082203849,0.042523395
PC 14:0;0_17:1;0,PC,GPL,MEM,31,1,0,0.00776466614874296,0.034327075,0.0269286723034716,0.03309042
PC 14:1;0_17:0;0,PC,GPL,MEM,31,1,0,NA,NA,0.0334387380557516,0.013166887
PC 15:0;0_16:1;0,PC,GPL,MEM,31,1,0,0.0817545718981673,0.474316415,0.419833389275883,0.524714289
PC 15:1;0_16:0;0,PC,GPL,MEM,31,1,0,0.0244011134117362,0.139410922,0.144666677601062,0.07786177
PC 14:1;0_17:1;0,PC,GPL,MEM,31,2,0,NA,NA,NA,0.010192707
PC 15:0;0_16:2;0,PC,GPL,MEM,31,2,0,NA,NA,NA,0.02840179
PC 14:0;0_18:0;0,PC,GPL,MEM,32,0,0,NA,0.049750245,NA,NA
PC 15:0;0_17:0;0,PC,GPL,MEM,32,0,0,0.00736208669836204,0.168685292,0.0701226380050331,0.106220306
PC 16:0;0_16:0;0,PC,GPL,MEM,32,0,0,0.0583717527378558,0.273416557,0.432290214719543,0.322604388
PC 14:0;0_18:1;0,PC,GPL,MEM,32,1,0,0.516274988350421,NA,1.20589838109804,0.64039823
PC 14:1;0_18:0;0,PC,GPL,MEM,32,1,0,0.00982747119343164,NA,NA,0.0093093
PC 15:0;0_17:1;0,PC,GPL,MEM,32,1,0,0.0199781276771214,0.121206399,0.099024600935081,0.127983487
PC 15:1;0_17:0;0,PC,GPL,MEM,32,1,0,NA,NA,NA,0.072627138
PC 16:0;0_16:1;0,PC,GPL,MEM,32,1,0,1.2885953792497,3.571004849,7.4394683181066,3.813848264
PC 14:0;0_18:2;0,PC,GPL,MEM,32,2,0,0.010186878957938,NA,0.0113797425601865,0.008497611
PC 14:1;0_18:1;0,PC,GPL,MEM,32,2,0,0.0379848102995286,0.061316931,0.106816911053323,0.035663788
PC 16:0;0_16:2;0,PC,GPL,MEM,32,2,0,0.0189313453207661,0.04086146,0.0270134122679956,0.026084695
PC 16:1;0_16:1;0,PC,GPL,MEM,32,2,0,0.111226916946543,0.514284223,0.274679280318591,0.379110389
PC 16:1;0_16:2;0,PC,GPL,MEM,32,3,0,NA,0.064686582,NA,0.027605537
PC 15:0;0_18:0;0,PC,GPL,MEM,33,0,0,NA,0.09349005,NA,0.097748604
PC 16:0;0_17:0;0,PC,GPL,MEM,33,0,0,NA,NA,0.910679351569822,0.556947875
PC 13:0;0_20:1;0,PC,GPL,MEM,33,1,0,0.00585199004732077,NA,NA,NA
