feature,class,structuralcategory,functionalcategory,totallength,totaldb,totaloh,fullname,CD1a-100-a,CD1a-100-b,CD1a-150-a,CD1a-150-b,CD1a-20-a,CD1a-20-b,CD1a-50-a,CD1a-50-b,CD1a-75-a,CD1a-75-b,CD1c-100-a,CD1c-100-b,CD1c-150-a,CD1c-150-b,CD1c-20-a,CD1c-20-b,CD1c-50-a,CD1c-50-b,CD1c-75-a,CD1c-75-b
,,,,,,,shortname,CD1aBa,CD1aBb,CD1aAa,CD1aAb,CD1aEa,CD1aEb,CD1aDa,CD1aDb,CD1aCa,CD1aCb,CD1cBa,CD1cBb,CD1cAa,CD1cAb,CD1cEa,CD1cEb,CD1cDa,CD1cDb,CD1cCa,CD1cCb
,,,,,,,cohort,CD1a-100,CD1a-100,CD1a-150,CD1a-150,CD1a-20,CD1a-20,CD1a-50,CD1a-50,CD1a-75,CD1a-75,CD1c-100,CD1c-100,CD1c-150,CD1c-150,CD1c-20,CD1c-20,CD1c-50,CD1c-50,CD1c-75,CD1c-75
DAG 17:1;0_17:1;0,DAG,GL,MEM,34,2,0,,NA,0.00213543282715988,0.00276102833150642,0.00406883649468258,NA,0.00316815855048856,0.004379860448745,NA,0.00155161498227507,0.00445855858594579,0.00219804993751928,0.00231785320836483,0.002505911899931,0.00247093113076131,0.00668533895744941,0.00177967363606161,NA,0.00394445865650288,0.0025739942518871,0.00376639144709836
DAG 16:1;0_18:2;0,DAG,GL,MEM,34,3,0,,0.0168463172424879,0.0158593504296648,0.0151018602183191,0.0145699399964661,0.0863381734266514,NA,0.0225454493326985,0.0206286925280898,0.0177004491929348,0.0153057718896204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 16:2;0_18:1;0,DAG,GL,MEM,34,3,0,,0.0383033884270156,0.0402998093645028,0.0388000903424368,0.0347253226027816,NA,NA,0.0480564968205507,0.051744022124031,0.0418895200779749,0.0380307895716417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 15:0;0_20:1;0,DAG,GL,MEM,35,1,0,,0.00922501408781232,0.00939413260234514,0.00988396125815771,0.00891297224895261,NA,0.0127281289973984,NA,0.00974271348686501,0.00915750222758594,0.0103187243273229,0.00680971351232622,0.00749888799554426,0.00725036337375019,0.00743749764371658,NA,NA,NA,NA,0.00786531115694811,NA
DAG 16:0;0_19:1;0,DAG,GL,MEM,35,1,0,,0.00936988850537724,0.0119471578064521,0.0109568429487582,0.0112914091184768,0.0137855067779314,0.0195869364339064,0.0104986957066834,0.0104281493717511,0.0102793116485685,0.0102530559719064,0.00173477519956481,0.00263793398753251,0.002278498242719,0.00221623548923967,0.00850237611707299,NA,NA,NA,NA,0.0026680825311094
DAG 16:1;0_19:0;0,DAG,GL,MEM,35,1,0,,0.00249622009096083,0.00267848046214768,NA,NA,NA,NA,NA,NA,NA,0.0026017525491264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 17:0;0_18:1;0,DAG,GL,MEM,35,1,0,,0.119297498198424,0.12692319017391,0.130711986904075,0.131937658096566,NA,0.227897962370679,0.13382761097704,0.139098372085471,0.122198896383012,0.114054714917563,0.043705148667882,0.050952442854258,0.0473850850905502,0.0452700493535364,0.101593841442307,NA,0.0815787046767071,0.0665798193598799,0.0469460023293222,0.0573128517841066
DAG 17:1;0_18:0;0,DAG,GL,MEM,35,1,0,,0.0101133634259479,0.0104292201874971,NA,0.00995450205260869,NA,NA,NA,NA,0.0101785009211788,0.00886989917718234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 15:0;0_20:2;0,DAG,GL,MEM,35,2,0,,NA,NA,0.00153505670749153,0.00119670262053173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 16:0;0_19:2;0,DAG,GL,MEM,35,2,0,,0.00277253672622618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
