feature,class,structuralcategory,functionalcategory,totallength,totaldb,totaloh,CD1a_pmol,CD1b_pmol,CD1c_pmol,CD1d_pmol
PC 16:1;0_16:2;0,PC,GPL,MEM,32,3,0,NA,0.491495997,NA,1.972339988
PC 15:0;0_18:0;0,PC,GPL,MEM,33,0,0,NA,0.71034801,NA,6.983870029
PC 16:0;0_17:0;0,PC,GPL,MEM,33,0,0,NA,NA,145.723999023438,39.79240036
PC 13:0;0_20:1;0,PC,GPL,MEM,33,1,0,0.523769974708557,NA,NA,NA
PC 14:0;0_19:1;0,PC,GPL,MEM,33,1,0,0.276152998209,0.041865598,NA,0.299127996
PC 15:0;0_18:1;0,PC,GPL,MEM,33,1,0,53.8028984069824,7.235290051,193.005996704102,96.6882019
PC 15:1;0_18:0;0,PC,GPL,MEM,33,1,0,NA,NA,NA,NA
PC 16:0;0_17:1;0,PC,GPL,MEM,33,1,0,15.4573001861572,3.067780018,85.1100006103516,30.8526001
PC 16:1;0_17:0;0,PC,GPL,MEM,33,1,0,10.410400390625,2.27741003,51.7370986938477,29.36050034
PC 15:0;0_18:2;0,PC,GPL,MEM,33,2,0,2.16359996795654,0.0426386,5.70251989364624,0.409819007
PC 15:1;0_18:1;0,PC,GPL,MEM,33,2,0,NA,1.538149953,NA,13.5
PC 16:0;0_17:2;0,PC,GPL,MEM,33,2,0,NA,0.140191004,NA,0.762142003
PC 16:1;0_17:1;0,PC,GPL,MEM,33,2,0,29.3903007507324,0.651066005,75.4589996337891,4.970510006
PC 16:2;0_17:1;0,PC,GPL,MEM,33,3,0,3.85999989509583,NA,NA,3.771070004
PC 15:0;0_19:0;0,PC,GPL,MEM,34,0,0,NA,NA,NA,0.796122015
PC 14:0;0_20:1;0,PC,GPL,MEM,34,1,0,3.09301996231079,0.125985995,11.3972997665405,1.894420028
PC 15:0;0_19:1;0,PC,GPL,MEM,34,1,0,NA,0.149441004,2.40234994888306,1.547539949
PC 16:0;0_18:1;0,PC,GPL,MEM,34,1,0,682.414978027344,36.53210068,2069.01000976562,470.223999
PC 16:1;0_18:0;0,PC,GPL,MEM,34,1,0,49.3255996704102,4.540229797,172.503997802734,46.18989944
PC 17:0;0_17:1;0,PC,GPL,MEM,34,1,0,2.52755999565125,0.697026014,9.91415977478027,5.804550171
PC 14:0;0_20:2;0,PC,GPL,MEM,34,2,0,0.480585992336273,NA,1.51194000244141,0.391923994
PC 14:1;0_20:1;0,PC,GPL,MEM,34,2,0,NA,NA,NA,NA
PC 16:0;0_18:2;0,PC,GPL,MEM,34,2,0,7.82806015014648,0.84069097,21.8134002685547,8.03606987
PC 16:1;0_18:1;0,PC,GPL,MEM,34,2,0,214.983001708984,20.8526001,399.221008300781,232.3999939
PC 16:2;0_18:0;0,PC,GPL,MEM,34,2,0,0.802555024623871,NA,NA,0.497159004
PC 17:1;0_17:1;0,PC,GPL,MEM,34,2,0,0.920231997966766,0.278883994,2.75658011436462,2.146970034
PC 14:0;0_20:3;0,PC,GPL,MEM,34,3,0,NA,NA,NA,NA
PC 16:0;0_18:3;0,PC,GPL,MEM,34,3,0,NA,NA,0.804502010345459,0.453851998
PC 16:1;0_18:2;0,PC,GPL,MEM,34,3,0,1.94780004024506,0.357867002,3.48931002616882,2.739439964
PC 16:2;0_18:1;0,PC,GPL,MEM,34,3,0,3.0161600112915,0.648733974,3.11006999015808,3.165580034
PC 15:0;0_20:0;0,PC,GPL,MEM,35,0,0,NA,0.0113547,0.27658399939537,NA
PC 16:0;0_19:0;0,PC,GPL,MEM,35,0,0,0.680365979671478,0.068314798,1.35289001464844,0.487410009
PC 17:0;0_18:0;0,PC,GPL,MEM,35,0,0,2.24820995330811,NA,4.47975015640259,2.323570013
PC 13:0;0_22:1;0,PC,GPL,MEM,35,1,0,NA,NA,NA,NA
PC 14:0;0_21:1;0,PC,GPL,MEM,35,1,0,NA,NA,NA,NA
PC 15:0;0_20:1;0,PC,GPL,MEM,35,1,0,5.39638996124268,0.652423978,9.96397018432617,9.365539551
PC 16:0;0_19:1;0,PC,GPL,MEM,35,1,0,3.84945011138916,0.459583998,9.8015604019165,2.492059946
